name,address,specialty
賦真妍整形外科專科診所,臺北市大安區忠孝東路4段162號3樓、166號3樓之3,"整形外科,"
韓風時尚整形外科診所,臺北市大安區光復南路346巷21號1樓,"整形外科,"
巨星整形外科診所,臺北市大安區忠孝東路四段107號5樓之2,"整形外科,"
凡登整形外科診所,臺北市大安區信義路三段149號4樓、149號4樓之1,"麻醉科,整形外科,"
銘妍診所,臺北市大安區忠孝東路四段107號8樓,"整形外科,"
台北亞緻診所,臺北市大安區仁愛路4段2號6樓,"整形外科,"
陽光燦亮診所,臺北市大安區忠孝東路四段166號7樓之3,"整形外科,"
昕彤診所,臺北市大安區忠孝東路4段73之3號(4樓),"整形外科,"
王君瑜整形外科診所,臺北市大安區仁愛路4段107號2樓,"整形外科,"
薇妮斯整形外科診所,臺北市大安區忠孝東路4段120之12號12樓,"整形外科,"
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,整形外科,牙醫一般科,"
凡登斐麗診所,臺北市大安區信義路3段149號3樓、149號3樓之1,"整形外科,"
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,"
群英整形外科診所,臺北市大安區信義路4段279號3樓、281號3樓,"整形外科,"
梁偉中整形外科診所,臺北市大安區忠孝東路四段一二四之四號五樓,"整形外科,"
奐采美診所,臺北市大安區忠孝東路4段50號5樓,"外科,整形外科,"
沐美診所,臺北市大安區仁愛路4段25之1號5樓,"麻醉科,整形外科,"
芮態診所,臺北市大安區市民大道3段206號5樓,"整形外科,"
麗舍整形外科診所,臺北市大安區基隆路2段172之1號5樓、5樓之1、5樓之2、5樓之3、5樓之4,"整形外科,"
耐斯診所,臺北市大安區敦化南路1段216號11樓,"整形外科,"
凡登顱顏診所,臺北市大安區信義路3段149號6樓、6樓之1,"麻醉科,整形外科,"
木木日安醫學美容診所,臺北市大安區敦化南路1段138之1號(1樓、2樓),"皮膚科,"
向昕美學整形外科診所,臺北市大安區忠孝東路4段178號11樓,"整形外科,"
安瑟美皮膚科診所,臺北市大安區安和路1段113號2樓,"皮膚科,"
夢工場整形醫美診所,臺北市大同區承德路一段32號5樓,"整形外科,"
時尚假期整形醫美診所,臺北市大同區南京西路278號2樓,"整形外科,"
周皮膚科診所,臺北市大同區延平北路一段二十六號,"皮膚科,"
中山璀璨診所,臺北市中山區南京西路1之2號（實際營業地址：五層）,"整形外科,"
